"y","x","f"
1.57249040445475,-0.149919375312244,"b"
3.96804993353519,1.95407747794291,"b"
0.129228687840049,-0.143227905173276,"a"
-0.49529260032674,-1.7933687350153,"b"
2.81237816924645,1.76900248453136,"a"
3.15343660916286,1.0245247280891,"b"
1.3843784882253,-0.589118648334641,"b"
2.60979197745187,0.772192536323329,"b"
2.37854038014694,1.58450567022759,"a"
1.48611715665936,-0.42859157263575,"b"
-0.58637226393283,-1.45944317422143,"a"
-0.643790023911475,-0.998781949313517,"a"
1.48331572762434,0.681088514231629,"a"
1.89080814057793,0.283210584889111,"b"
0.98320074663324,0.00831586906950062,"a"
-1.91312114064296,-2.75632036185736,"a"
0.564876846302749,-0.702972677546291,"a"
2.25135162449867,0.569311646177029,"b"
2.86428408539787,0.271084144756088,"b"
3.17010436420099,1.25214097092741,"a"
0.540262484927007,-0.681666952369573,"a"
1.59264959440041,-0.623943580701176,"b"
3.41201449847296,1.72730199169631,"b"
1.84653188646512,1.337649673516,"a"
0.890904286070743,-0.730909340470271,"a"
2.30808677957801,0.535723797880551,"b"
1.88568869671716,-0.0861366281241687,"b"
-0.152132336328857,-1.31718575332116,"a"
2.5828707355892,0.816754999219193,"b"
0.959543696773081,-0.35626232130537,"a"
-0.584483793118882,-1.54503802934783,"a"
2.44693276041425,-0.0322976003874699,"b"
-0.568879860971221,-1.78763280481699,"b"
3.43150135136609,1.28917349510711,"b"
0.919593588158026,0.327552948131685,"b"
2.21159759269106,0.671988418336181,"b"
1.15366442148758,-0.929813928819719,"b"
1.72915946239797,0.424457677482911,"a"
1.41088829890704,0.376293829994545,"a"
1.18255247736346,-0.553750801811375,"b"
1.59682173810251,0.119516768378002,"a"
0.738312244995779,-0.0692221448626082,"a"
3.68181600658491,1.87309762484397,"a"
1.89923921491364,1.00268703440685,"a"
1.51416489499376,-0.903073286814896,"b"
1.64750105900409,0.203922733066334,"a"
-0.142730126713907,-0.669076068451711,"c"
1.3509587461002,-0.605508794125414,"b"
2.21948015193355,-0.351532236941574,"b"
1.41322146367375,0.304305098366784,"a"
-0.164674072367527,-1.61464350358806,"a"
1.57078851930392,0.570474049060582,"a"
-0.102240017439415,-0.611930115505443,"a"
1.27164437438486,-1.30344866145492,"b"
1.27764763610623,-0.309963174932476,"b"
1.14961432754659,0.271774612662282,"a"
3.58459919170583,3.06837699940579,"a"
2.16809480800357,1.17664318609221,"a"
0.659043337820528,-1.22344035768949,"b"
0.333962007048218,-1.18048419317487,"a"
-0.558646914864594,-2.58551864580395,"b"
2.49307716318234,0.138019578327366,"b"
2.60934309753492,1.40458655472537,"a"
3.2231306625627,1.58501154778243,"b"
2.58785187374662,0.19684543915693,"b"
3.05034083306817,1.15047958020395,"b"
2.64835157338953,1.3989917195457,"b"
1.98875471900026,0.277597638907473,"b"
0.618815251942583,-0.21519092581245,"a"
-0.794901316117178,-2.34641165657522,"a"
-0.123946415579432,-1.26895984364242,"a"
0.765815144343595,-1.25008490648192,"b"
0.530971719909274,-0.155317217266401,"b"
-1.244533585705,-2.2521898425386,"a"
2.07191401441939,-0.11464477667984,"b"
4.25042481741306,2.26551156890104,"b"
0.866556472608057,-0.545952387348763,"a"
0.529265862349703,-0.928503427692949,"b"
2.06413739687229,0.0948118212325367,"b"
-0.252584452823285,-0.841730129288155,"a"
3.30832057529457,1.93755299718814,"a"
3.76112850451817,2.25017943901734,"b"
1.27231494714718,1.07013465347867,"a"
3.15353719620677,0.578660106410204,"b"
3.44506437234366,1.03039606194286,"b"
1.30161701947913,0.67167693076652,"a"
0.490585754244673,-0.278814959762243,"a"
1.44947024856791,-0.380383774450201,"b"
-0.067671205996875,-0.92432540901461,"a"
-0.315078928588183,-0.42954416423416,"a"
3.18300984276199,1.19789186727866,"b"
0.930828058645322,-1.38056808568733,"b"
1.35818135932427,0.507754905048018,"a"
0.639912685290282,0.0843315419939678,"a"
1.97974655058766,0.050994728610003,"b"
0.353890288274,-0.741022740244881,"a"
3.13448467040326,1.48517227590858,"b"
0.0516765366830234,-0.744912370964583,"a"
-0.562915250427985,-2.12384583934442,"b"
0.685657015320681,-1.11372270946784,"a"
