"y","x","g1","g2"
0.843397808154263,-0.0845860713710238,"A1","B1"
1.35434036167274,0.840400125597476,"A1","B1"
1.22379284311904,-0.463482772187991,"A1","B1"
-0.0531779505604748,-0.550835004480379,"A1","B1"
0.658997248996808,0.736040432105293,"A1","B1"
2.66448890552295,-0.107881401506818,"A2","B1"
1.58334289082075,-0.17028914982177,"A2","B1"
1.95496236294353,-1.08833171186954,"A2","B1"
-0.0313519489936654,-3.01105167576798,"A2","B1"
2.52997349654771,-0.593174332801249,"A2","B1"
1.18227932211027,-0.759793796302071,"A3","B1"
1.26058540842742,0.292049863660693,"A3","B1"
1.60208196975211,0.421398594579087,"A3","B1"
0.804652051436076,-1.29448908100089,"A3","B1"
1.78058220607987,0.069285088863449,"A3","B1"
0.000215113686157925,-0.813038477272046,"A4","B1"
0.114352920786503,1.51085307235785,"A4","B1"
-0.214756200136478,-0.271608879959897,"A4","B1"
1.44418031987749,1.55825392862137,"A4","B1"
0.451040977057812,-0.237349870104542,"A4","B1"
2.85475109584024,1.28312288225294,"A5","B1"
2.23582588587737,-0.00948963582193302,"A5","B1"
2.11024385062453,-0.400082781659235,"A5","B1"
2.59672196053944,0.0219856238212091,"A5","B1"
3.69066936450819,1.74276738119779,"A5","B1"
-0.523186979290109,-1.10717415930603,"A6","B1"
0.60851400857867,-1.06048948248981,"A6","B1"
1.75075098203594,1.95116131935762,"A6","B1"
0.531534541048922,0.602706742607104,"A6","B1"
0.000683057011170107,-2.02060948083538,"A6","B1"
1.3954144394062,1.50667554287554,"A7","B1"
1.04411063862511,0.963711089169582,"A7","B1"
-0.241681924074257,-1.55389141221093,"A7","B1"
0.81255186585446,-0.773642378723716,"A7","B1"
1.38156811715857,1.26077795552575,"A7","B1"
0.947705337046616,0.428455778881058,"A8","B1"
0.263702087711641,0.844583536956201,"A8","B1"
-1.0571845361819,-0.699150552121955,"A8","B1"
0.481861183854003,-0.0648622765838663,"A8","B1"
0.480542877459105,0.470983645423557,"A8","B1"
1.73056563531754,0.363500621684761,"A1","B2"
1.20812847094585,-0.614555909175177,"A1","B2"
1.90823845341598,0.228949290442959,"A1","B2"
1.23186784703016,-0.262056833743893,"A1","B2"
0.982246972511877,0.612555990692023,"A1","B2"
2.33607658252305,-1.95761249262471,"A2","B2"
2.26842431016785,-0.663507471464639,"A2","B2"
2.5896045428187,0.283787515437176,"A2","B2"
3.10747369173071,0.26871796344891,"A2","B2"
2.72191146740889,-0.640104740488368,"A2","B2"
3.1919206463455,1.07995126651587,"A3","B2"
1.40954990153707,-0.365146340818831,"A3","B2"
2.08842785142898,0.589365389501455,"A3","B2"
1.64532878174977,-0.0960959470314788,"A3","B2"
2.95746123646306,0.971507755278039,"A3","B2"
0.9102949541586,0.578468944716909,"A4","B2"
0.532275640584256,-0.777173503437077,"A4","B2"
0.528946289410406,-0.600842115598867,"A4","B2"
0.0424212747862445,-1.4993194091762,"A4","B2"
1.88424702799845,0.754163424601168,"A4","B2"
3.03596656620779,0.557294325125743,"A5","B2"
2.55962147729822,0.0948771457734463,"A5","B2"
2.19855452812862,-1.78144141665843,"A5","B2"
1.79607677976666,-1.10879241335606,"A5","B2"
1.96050526504683,-0.267447782216747,"A5","B2"
1.00772165511555,-1.07665308438267,"A6","B2"
1.38422982323544,-0.49115171521268,"A6","B2"
1.89799804780998,1.6391979888546,"A6","B2"
2.37124909746395,0.396777012866168,"A6","B2"
1.33451490135623,-1.59807339303387,"A6","B2"
0.245219514488848,-1.46769017514383,"A7","B2"
1.26587458120364,1.04013788747687,"A7","B2"
1.2848606965885,0.782830991133153,"A7","B2"
0.79344498883167,-0.477096420540725,"A7","B2"
1.17150799498504,0.0940246394353218,"A7","B2"
1.62486127161387,0.598979355147845,"A8","B2"
-0.319151648938096,-2.89729796875352,"A8","B2"
0.830489251689826,0.583696692132453,"A8","B2"
2.19993463314275,2.37608336836274,"A8","B2"
0.353796832201336,-0.646262060727314,"A8","B2"
-0.0243224953119589,0.243068978701817,"A1","B3"
-1.19307053226062,-0.789493209606987,"A1","B3"
-1.00447491152637,-1.09369943198804,"A1","B3"
0.753730210628239,2.0446073649504,"A1","B3"
-0.987192581972502,-1.68133367030049,"A1","B3"
1.30598600215899,1.2152831312895,"A2","B3"
0.636329590920511,-0.0957235167908866,"A2","B3"
0.0780086696932378,-0.951394465663995,"A2","B3"
0.822149204895579,0.601265491634043,"A2","B3"
-1.19276046016245,-3.01452723791249,"A2","B3"
1.68236802853436,0.769484603298526,"A3","B3"
0.936242467963866,1.56894199864603,"A3","B3"
0.546855117162229,-0.502716775782678,"A3","B3"
-0.330067073373198,-0.617888220371397,"A3","B3"
-0.653089914598914,-1.35143198010896,"A3","B3"
-0.553247867182501,0.769087908155135,"A4","B3"
-0.196798349446403,0.329469117407761,"A4","B3"
-0.685421379521907,-0.0441456569596073,"A4","B3"
